City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Forbes,AU,75.0,broken clouds,-33.3833,148.0167,Lake Forbes Motel
663,San-Pedro,CI,78.91,scattered clouds,4.7485,-6.6363,Hotel Maria
666,Takoradi,GH,79.63,clear sky,4.8845,-1.7554,Raybow International Hotel
676,Ewa Beach,US,78.8,clear sky,21.3156,-158.0072,Base Lodging
678,Anloga,GH,81.68,scattered clouds,5.7947,0.8973,Pin Drop Hotel
684,Jau,BR,80.6,clear sky,-22.2964,-48.5578,Hotel Jau
685,Isangel,VU,86.0,few clouds,-19.55,169.2667,Volcano Sea View Tree House
686,Caravelas,BR,77.74,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
690,Palu,ID,81.45,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
692,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
704,Morondava,MG,79.9,light rain,-20.2833,44.2833,La Case Bambou
705,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
